N,P,K,Temperature,Humidity,pH,Rainfall,Latitude,Longitude,Soil_Type,Crop,Best Sowing Time,Duration Time (Approx.),Harvesting Time
57,98,176,19.93,37.61,4.25,82.97,17.6753,76.2342,Red & Yellow,Chickpea,October - November (Rabi),4 - 5 months,March (Spring)
10,73,105,24.21,89.21,8.83,295.63,20.6763,74.7653,Saline / Alkaline,Lentil,October - November (Rabi),4 - 5 months,February - April (Spring)
99,135,69,29.74,73.84,5.64,151.42,19.7531,73.6543,Laterite,Banana,Feb - May or July - Aug (Planting),11 - 15 months,Throughout the year
74,25,66,28.39,41.99,4.35,250.19,18.9876,76.1124,Laterite,Mango,July - August (Planting),Perennial (Tree),February - June
103,46,90,44.32,53.15,5.72,231.74,19.7342,78.9862,Red & Yellow,Blackgram,June - July (Kharif),2 - 3 months,September - October (Autumn)
18,41,142,14.59,55.88,7.37,136.89,20.4264,77.5641,Alluvial,Jute,March - July (Monsoon),4 - 5 months,July - October (Autumn)
69,104,70,39.61,31.37,6.14,134.94,21.5463,78.2134,Alluvial,Maize,June - July (Kharif),3 - 4 months,September - October (Autumn)
26,54,127,13.98,77.48,6.38,211.33,21.2453,73.4872,Alluvial,Mungbean,June - July (Kharif),2 - 3 months,September - October (Autumn)
97,108,152,14.12,45.36,6.83,76.73,20.1674,76.9123,Alluvial,Maize,June - July (Kharif),3 - 4 months,September - October (Autumn)
13,21,93,18.27,13.18,5.69,186.37,19.9745,75.6741,Laterite,Coffee,June - July (Monsoon/Main planting),Perennial (Shrub),November - March (Main Harvest)
64,48,78,15.83,86.94,7.39,164.32,20.1225,77.6413,Peaty / Marshy,Jute,March - July (Monsoon),4 - 5 months,July - October (Autumn)
111,76,173,28.13,23.66,5.41,235.98,18.7124,76.5478,Alluvial,Lentil,October - November (Rabi),4 - 5 months,February - April (Spring)
93,50,71,22.42,36.65,7.53,101.46,19.1245,73.6124,Arid (Desert),Mothbeans,June - July (Kharif),2 - 3 months,September - October (Autumn)
132,124,134,36.56,43.24,7.45,261.91,21.9673,74.2145,Black (Regur),Kidneybeans,Oct - Nov (Rabi) or Feb-Mar (Zaid),3 - 5 months,March - May (Spring/Early Summer)
3,14,59,11.23,60.98,8.63,177.81,21.5648,73.2167,Saline / Alkaline,Chickpea,October - November (Rabi),4 - 5 months,March (Spring)
124,106,148,39.56,55.42,7.24,116.75,19.3256,74.6745,Forest / Mountain,Apple,Dec - Feb (Dormant season),Perennial (Tree),July - September
134,123,91,23.86,29.48,6.54,151.49,20.1467,73.9453,Alluvial,Maize,June - July (Kharif),3 - 4 months,September - October (Autumn)
80,18,145,31.25,32.94,4.13,278.62,20.8212,75.1435,Laterite,Banana,Feb - May or July - Aug (Planting),11 - 15 months,Throughout the year
98,12,77,43.11,60.38,8.27,291.45,21.6213,76.2313,Laterite,Coffee,June - July (Monsoon/Main planting),Perennial (Shrub),November - March (Main Harvest)
5,124,193,19.61,91.83,6.93,169.74,18.8934,77.6425,Alluvial,Maize,June - July (Kharif),3 - 4 months,September - October (Autumn)
88,10,70,25.61,71.19,7.95,254.13,19.1286,76.3142,Peaty / Marshy,Coconut,June - July (Planting),Perennial (Tree),Year-round (Multiple harvests)
100,36,44,33.76,97.13,4.82,239.84,20.7812,74.5213,Red & Yellow,Grapes,Dec - Jan (Planting),Perennial (Vine),Feb - May
25,73,60,16.94,13.41,5.73,213.14,21.3213,75.7631,Black (Regur),Cotton,June - September (Kharif),5 - 6 months,December - February
105,63,154,35.15,76.27,7.26,100.48,20.4124,78.2341,Arid (Desert),Mothbeans,June - July (Kharif),2 - 3 months,September - October (Autumn)
